Record ID,Status,Termination Date,Hire Date,Birthdate,Marital Status,Gender,Highest Education,Termination Reason
1,Terminated,04/25/2019,07/23/2018,11/14/1977,S,M - Male,C - HS Grad,Voluntary-Another Job
2,Terminated,02/19/2020,07/15/2019,01/04/1993,S,M - Male,A - Not Indic,Voluntary-Personal Reasons
3,Terminated,10/18/2019,05/16/1977,10/18/1957,S,F - Female,D - Some Coll.,Retire-Normal
4,Terminated,03/22/2019,05/08/2012,09/18/1966,M,F - Female,C - HS Grad,Voluntary-Another Job
5,Terminated,01/04/2019,08/27/1975,01/13/1952,M,F - Female,C - HS Grad,Retire-Normal
6,Terminated,12/27/2019,10/26/1976,05/27/1957,M,F - Female,B - Less Th HS,Retire-Normal
7,Terminated,06/03/2019,10/03/1977,10/23/1956,M,F - Female,D - Some Coll.,Retire-Normal
8,Terminated,10/01/2019,12/16/1996,02/14/1953,S,M - Male,I - Master's,Voluntary-No Reason Given
9,Terminated,01/25/2019,05/13/2018,10/23/1992,S,M - Male,A - Not Indic,Voluntary-Reloc/Move
10,Terminated,01/16/2020,07/30/2018,06/25/1963,S,F - Female,C - HS Grad,Voluntary-No Reason Given
11,Terminated,08/06/2019,10/10/1983,10/02/1950,M,F - Female,C - HS Grad,Retire-Normal
12,Terminated,05/03/2019,07/07/1975,06/18/1957,S,F - Female,C - HS Grad,Retire-Normal
13,Terminated,03/29/2019,09/22/1975,04/01/1949,M,F - Female,C - HS Grad,Retire-Normal
14,Terminated,05/13/2019,04/24/2017,12/22/1992,S,M - Male,A - Not Indic,Voluntary-No Reason Given
15,Terminated,06/04/2019,10/30/2017,06/16/1992,S,M - Male,C - HS Grad,Voluntary-No Child Care
16,Terminated,04/15/2019,01/02/2018,06/04/1986,S,M - Male,A - Not Indic,Voluntary-Another Job
17,Terminated,02/19/2019,09/17/2018,04/05/1993,M,M - Male,A - Not Indic,Voluntary-No Reason Given
18,Terminated,07/16/2019,10/22/2018,08/07/1985,S,M - Male,D - Some Coll.,Voluntary-No Call/No Show
19,Terminated,08/22/2019,07/06/1976,12/21/1956,M,M - Male,A - Not Indic,Retire-Normal
20,Terminated,02/15/2019,12/27/1990,12/19/1961,M,M - Male,C - HS Grad,Retire-Normal
21,Terminated,08/13/2019,10/14/2018,01/01/1996,S,M - Male,F - 2-Yr Coll,Voluntary-Health
22,Terminated,03/13/2019,06/04/2018,06/07/1973,D,M - Male,C - HS Grad,Voluntary-Personal Reasons
23,Terminated,07/25/2019,03/20/2017,08/04/1979,S,M - Male,D - Some Coll.,Voluntary-No Reason Given
24,Terminated,03/22/2019,07/10/2018,10/29/1982,M,M - Male,C - HS Grad,Voluntary-Another Job
25,Terminated,12/13/2019,12/02/2019,08/16/1993,C,M - Male,B - Less Th HS,Voluntary-Personal Reasons
26,Terminated,07/12/2019,08/27/2012,07/27/1985,M,M - Male,A - Not Indic,Voluntary-Another Job
27,Terminated,01/14/2020,09/03/2019,01/02/1986,S,M - Male,D - Some Coll.,Voluntary-No Call/No Show
28,Terminated,03/29/2019,08/29/1983,07/21/1955,M,M - Male,A - Not Indic,Retire-Normal
29,Terminated,03/19/2020,08/23/1993,10/08/1954,S,M - Male,H - Some Grad,Retire-Normal
30,Terminated,05/31/2019,10/04/1984,11/23/1955,M,M - Male,C - HS Grad,Retire-Normal
31,Terminated,12/16/2019,11/30/1987,10/02/1951,S,M - Male,C - HS Grad,Retire-Normal
32,Terminated,05/31/2019,12/13/2015,05/07/1952,S,M - Male,C - HS Grad,Retire-Early
33,Terminated,01/31/2020,03/25/1983,06/14/1960,S,M - Male,C - HS Grad,Retire-Normal
34,Terminated,01/04/2020,08/02/1983,11/16/1950,M,M - Male,D - Some Coll.,Retire-Normal
35,Terminated,05/17/2019,05/16/1977,04/16/1957,M,M - Male,C - HS Grad,Retire-Normal
36,Terminated,09/26/2019,09/11/2017,08/31/1998,N,M - Male,A - Not Indic,Voluntary-Another Job
37,Terminated,08/22/2019,05/20/2019,07/05/1998,S,F - Female,C - HS Grad,Voluntary-Return To School
38,Terminated,08/09/2019,05/20/2019,10/05/1996,S,M - Male,C - HS Grad,Voluntary-Return To School
39,Terminated,08/02/2019,02/10/1992,01/05/1951,M,M - Male,G - Bachelor's,Retire-Normal
40,Terminated,02/13/2019,07/23/2012,04/16/1971,D,F - Female,A - Not Indic,Voluntary-Another Job
41,Terminated,08/08/2019,06/21/2018,02/17/1999,S,F - Female,C - HS Grad,Voluntary-Return To School
42,Terminated,08/09/2019,05/20/2019,04/07/1998,S,M - Male,C - HS Grad,Voluntary-Return To School
43,Terminated,08/02/2019,05/20/2019,05/06/1998,S,F - Female,C - HS Grad,Voluntary-Return To School
44,Terminated,08/23/2019,06/03/2019,02/27/1998,S,F - Female,G - Bachelor's,Voluntary-Return To School
45,Terminated,09/13/2019,08/01/1988,08/27/1955,S,M - Male,C - HS Grad,Retire-Normal
46,Terminated,01/16/2020,11/17/1980,01/11/1962,M,F - Female,A - Not Indic,Retire-Normal
47,Terminated,02/01/2020,05/28/2019,07/01/1998,S,F - Female,D - Some Coll.,Voluntary-Return To School
48,Terminated,02/01/2020,05/20/2019,09/03/1997,S,F - Female,D - Some Coll.,Voluntary-Return To School
49,Terminated,10/22/2019,05/28/2019,03/21/1998,S,M - Male,D - Some Coll.,Voluntary-Return To School
50,Terminated,10/04/2019,12/10/2013,10/05/1975,M,M - Male,F - 2-Yr Coll,Voluntary-Another Job
51,Terminated,03/13/2019,03/14/1983,03/13/1957,M,F - Female,D - Some Coll.,Retire-Normal
52,Terminated,05/22/2019,05/29/2018,09/27/1996,S,M - Male,D - Some Coll.,Voluntary-Return To School
53,Terminated,05/09/2019,09/11/2000,08/22/1960,M,F - Female,A - Not Indic,Retire-Early
54,Terminated,12/18/2019,05/30/2017,03/30/1989,S,M - Male,A - Not Indic,Voluntary-Health
55,Terminated,04/09/2020,08/28/2017,02/24/1988,M,M - Male,F - 2-Yr Coll,Voluntary-Another Job
56,Terminated,08/30/2019,05/20/2019,08/18/1996,S,F - Female,G - Bachelor's,Voluntary-Return To School
57,Terminated,08/19/2019,05/20/2019,10/12/1998,S,F - Female,D - Some Coll.,Voluntary-Return To School
58,Terminated,08/28/2019,05/20/2019,03/10/1998,S,F - Female,C - HS Grad,Voluntary-Return To School
59,Terminated,12/18/2019,06/03/2019,07/24/1974,D,F - Female,G - Bachelor's,Voluntary-Another Job
60,Terminated,08/22/2019,08/12/2019,11/19/1996,S,F - Female,G - Bachelor's,Voluntary-Another Job
61,Terminated,08/23/2019,05/20/2019,05/26/1998,S,F - Female,C - HS Grad,Voluntary-Return To School
62,Terminated,07/12/2019,06/11/2018,05/05/1997,S,M - Male,C - HS Grad,Voluntary-Another Job
63,Terminated,10/16/2019,05/20/2019,03/11/1996,S,F - Female,G - Bachelor's,Voluntary-Another Job
64,Terminated,05/02/2019,08/10/2015,06/18/1968,S,M - Male,G - Bachelor's,Voluntary-Another Job
65,Terminated,06/04/2019,04/18/2016,11/21/1965,S,M - Male,D - Some Coll.,Voluntary-Health
66,Terminated,03/25/2020,09/26/2016,04/14/1953,N,F - Female,A - Not Indic,Voluntary-Personal Reasons
67,Terminated,10/16/2019,04/03/2017,06/14/1974,S,F - Female,F - 2-Yr Coll,Voluntary-Personal Reasons
68,Terminated,12/13/2019,06/04/2018,07/05/1984,M,F - Female,F - 2-Yr Coll,Voluntary-Another Job
69,Terminated,03/25/2020,07/15/2019,02/18/1976,M,F - Female,D - Some Coll.,Voluntary-No Reason Given
70,Terminated,03/21/2019,05/08/2013,02/03/1983,M,M - Male,A - Not Indic,Voluntary-Another Job
71,Terminated,02/15/2019,03/05/2018,10/06/1955,M,F - Female,G - Bachelor's,Voluntary-Another Job
72,Terminated,05/20/2019,03/28/2019,05/20/1999,S,M - Male,F - 2-Yr Coll,Voluntary-No Reason Given
73,Terminated,08/22/2019,05/20/2019,10/15/1998,S,F - Female,C - HS Grad,Voluntary-Return To School
74,Terminated,08/13/2019,07/22/2019,05/30/1997,S,F - Female,C - HS Grad,Voluntary-Return To School
75,Terminated,02/03/2020,02/03/2020,09/04/1985,D,F - Female,C - HS Grad,Voluntary-Personal Reasons
76,Terminated,03/31/2020,08/08/1990,10/08/1956,M,F - Female,B - Less Th HS,Retire-Normal
77,Terminated,08/16/2019,03/04/2019,09/27/1992,S,M - Male,C - HS Grad,Voluntary-Return To School
78,Terminated,01/03/2020,10/31/2016,04/14/1978,S,M - Male,I - Master's,Voluntary-Another Job
79,Terminated,01/06/2020,06/03/2019,01/13/1969,M,M - Male,H - Some Grad,Voluntary-Dissatisfied with SW
80,Terminated,01/17/2020,04/01/2019,05/01/1972,M,M - Male,I - Master's,Voluntary-Personal Reasons
81,Terminated,04/22/2019,10/27/2014,11/13/1964,M,M - Male,G - Bachelor's,Voluntary-Another Job
82,Terminated,10/25/2019,05/01/2017,03/04/1974,S,M - Male,G - Bachelor's,Voluntary-Another Job
83,Terminated,06/14/2019,11/20/2017,01/29/1978,M,F - Female,H - Some Grad,Voluntary-Another Job
84,Terminated,01/17/2020,09/10/2018,09/13/1995,S,M - Male,G - Bachelor's,Voluntary-Another Job
85,Terminated,07/08/2019,06/16/1969,02/12/1951,S,F - Female,D - Some Coll.,Retire-Normal
86,Terminated,05/10/2019,08/17/2015,01/24/1991,M,M - Male,G - Bachelor's,Voluntary-Another Job
87,Terminated,03/05/2020,08/18/2014,10/15/1989,S,M - Male,G - Bachelor's,Voluntary-Another Job
88,Terminated,01/17/2020,06/25/2012,10/23/1979,M,M - Male,G - Bachelor's,Voluntary-Another Job
89,Terminated,05/28/2019,02/26/2015,04/17/1962,S,M - Male,I - Master's,Voluntary-Another Job
90,Terminated,08/23/2019,11/07/2018,02/13/1983,S,M - Male,G - Bachelor's,Voluntary-Another Job
91,Terminated,03/05/2019,11/01/2002,07/11/1979,M,F - Female,G - Bachelor's,Voluntary-Another Job
92,Terminated,09/06/2019,05/18/2015,06/07/1993,M,F - Female,D - Some Coll.,Voluntary-Return To School
93,Terminated,01/18/2019,05/08/2017,12/27/1978,S,M - Male,G - Bachelor's,Voluntary-Another Job
94,Terminated,01/24/2020,12/04/1995,10/09/1970,S,M - Male,G - Bachelor's,Voluntary-Personal Reasons
95,Terminated,11/08/2019,08/31/2010,10/31/1981,S,M - Male,G - Bachelor's,Voluntary-Another Job
96,Terminated,09/06/2019,05/08/2017,07/18/1988,S,F - Female,I - Master's,Voluntary-Another Job
97,Terminated,03/15/2019,09/19/2011,12/30/1959,S,F - Female,F - 2-Yr Coll,Voluntary-Another Job
98,Terminated,03/15/2019,11/26/2018,03/24/1973,M,F - Female,G - Bachelor's,Voluntary-Another Job
99,Terminated,03/01/2019,03/21/2016,10/05/1984,S,M - Male,G - Bachelor's,Voluntary-Another Job
100,Terminated,04/03/2019,02/06/2017,11/27/1976,S,M - Male,G - Bachelor's,Voluntary-Another Job
101,Terminated,11/01/2019,04/18/2018,01/14/1972,M,M - Male,I - Master's,Voluntary-Another Job
102,Terminated,11/13/2019,12/10/2018,05/17/1990,M,M - Male,G - Bachelor's,Voluntary-Another Job
103,Terminated,02/27/2020,12/17/2007,01/07/1972,S,F - Female,G - Bachelor's,Voluntary-Personal Reasons
104,Terminated,01/31/2020,06/02/2014,05/12/1993,S,M - Male,G - Bachelor's,Voluntary-Another Job
105,Terminated,02/08/2019,07/20/2015,01/15/1984,S,F - Female,G - Bachelor's,Voluntary-Another Job
106,Terminated,03/13/2020,05/23/2016,10/28/1993,S,F - Female,D - Some Coll.,Voluntary-Another Job
107,Terminated,05/09/2019,03/31/2017,01/12/1996,S,F - Female,G - Bachelor's,Voluntary-Reloc/Move
108,Terminated,08/16/2019,01/15/2018,02/13/1988,S,F - Female,G - Bachelor's,Voluntary-Another Job
109,Terminated,02/19/2020,05/21/2018,09/10/1983,M,F - Female,G - Bachelor's,Voluntary-Another Job
110,Terminated,10/30/2019,10/28/2019,05/16/1994,S,M - Male,G - Bachelor's,Voluntary-Another Job
111,Terminated,02/08/2019,08/18/2014,04/08/1985,M,M - Male,G - Bachelor's,Voluntary-Another Job
112,Terminated,12/27/2019,11/10/1984,05/28/1961,M,F - Female,A - Not Indic,Retire-Normal
113,Terminated,01/18/2019,12/12/2016,11/02/1984,M,F - Female,G - Bachelor's,Voluntary-Another Job
114,Terminated,04/10/2020,10/11/2010,12/31/1976,M,F - Female,A - Not Indic,Voluntary-Another Job
115,Terminated,02/14/2020,07/13/2015,01/22/1984,M,F - Female,G - Bachelor's,Voluntary-Another Job
116,Terminated,08/23/2019,02/27/2017,05/21/1987,S,M - Male,C - HS Grad,Voluntary-Reloc/Move
117,Terminated,01/29/2020,08/20/2018,09/23/1958,M,M - Male,G - Bachelor's,Retire-Early
118,Terminated,11/01/2019,08/20/2018,03/31/1990,S,F - Female,H - Some Grad,Voluntary-Another Job
119,Terminated,02/01/2019,07/07/2008,05/30/1965,S,F - Female,G - Bachelor's,Voluntary-Another Job
120,Terminated,01/18/2019,03/01/1998,01/07/1969,D,M - Male,G - Bachelor's,Voluntary-Another Job
121,Terminated,07/09/2019,04/05/2011,09/15/1979,M,F - Female,G - Bachelor's,Voluntary-Another Job
122,Terminated,04/26/2019,12/12/2016,06/01/1963,S,F - Female,I - Master's,Voluntary-Another Job
123,Terminated,03/01/2019,08/19/1991,08/18/1959,M,M - Male,G - Bachelor's,Retire-Early
124,Terminated,06/07/2019,10/30/2015,02/07/1962,M,M - Male,A - Not Indic,Voluntary-Another Job
125,Terminated,05/15/2019,01/06/2014,10/10/1971,M,M - Male,G - Bachelor's,Voluntary-Personal Reasons
126,Terminated,06/21/2019,08/22/2016,02/21/1987,S,F - Female,G - Bachelor's,Voluntary-Reloc/Move
127,Terminated,03/20/2020,01/28/2019,03/28/1992,S,M - Male,H - Some Grad,Voluntary-Another Job
128,Terminated,09/03/2019,12/01/1997,03/07/1963,S,M - Male,G - Bachelor's,Retire-Normal
129,Terminated,03/04/2020,10/27/2014,07/24/1985,S,M - Male,I - Master's,Voluntary-Another Job
130,Terminated,02/08/2019,09/21/2015,02/24/1983,D,F - Female,I - Master's,Voluntary-Personal Reasons
131,Terminated,11/22/2019,01/18/2016,12/18/1983,S,M - Male,I - Master's,Voluntary-Another Job
132,Terminated,01/04/2019,10/31/2016,12/24/1946,S,M - Male,D - Some Coll.,Voluntary-Another Job
133,Terminated,10/04/2019,04/10/2017,01/30/1987,S,M - Male,C - HS Grad,Voluntary-Another Job
134,Terminated,03/15/2019,07/24/2017,01/24/1974,D,M - Male,F - 2-Yr Coll,Voluntary-Another Job
135,Terminated,04/09/2020,08/11/2008,07/19/1968,M,F - Female,I - Master's,Voluntary-No Reason Given
136,Terminated,04/18/2019,11/15/1999,02/16/1959,M,F - Female,C - HS Grad,Retire-Normal
137,Terminated,10/17/2019,07/29/2013,07/12/1969,S,M - Male,G - Bachelor's,Voluntary-Another Job
138,Terminated,06/06/2019,01/21/2019,08/17/1978,M,M - Male,G - Bachelor's,Voluntary-Another Job
139,Terminated,12/13/2019,03/17/2014,04/05/1971,M,M - Male,G - Bachelor's,Voluntary-Another Job
140,Terminated,08/16/2019,01/16/2017,10/13/1989,S,M - Male,G - Bachelor's,Voluntary-Another Job
141,Terminated,09/12/2019,11/19/2007,11/24/1956,M,F - Female,G - Bachelor's,Retire-Normal
142,Terminated,08/09/2019,05/12/2008,08/17/1963,S,F - Female,A - Not Indic,Voluntary-Personal Reasons
143,Terminated,04/05/2019,02/14/2000,06/03/1961,M,F - Female,A - Not Indic,Voluntary-Reloc/Move
144,Terminated,03/30/2019,10/21/2013,01/12/1956,M,F - Female,H - Some Grad,Voluntary-Health
145,Terminated,02/22/2019,07/11/2018,05/24/1983,M,M - Male,G - Bachelor's,Voluntary-Another Job
146,Terminated,01/15/2020,07/08/2019,01/23/1990,M,M - Male,G - Bachelor's,Voluntary-Another Job
147,Terminated,04/05/2019,07/31/2018,12/20/1976,M,M - Male,G - Bachelor's,Voluntary-Another Job
148,Terminated,03/29/2019,06/02/2014,05/04/1987,S,M - Male,F - 2-Yr Coll,Voluntary-Another Job
149,Terminated,01/29/2019,06/05/2017,08/30/1960,M,F - Female,D - Some Coll.,Voluntary-Health
150,Terminated,01/10/2020,07/14/2008,07/14/1977,M,F - Female,A - Not Indic,Voluntary-No Reason Given
151,Terminated,09/06/2019,06/28/2004,08/16/1969,M,M - Male,G - Bachelor's,Voluntary-No Reason Given
152,Terminated,02/29/2020,04/12/1999,12/10/1954,M,F - Female,G - Bachelor's,Retire-Normal
153,Terminated,03/27/2020,11/08/1999,06/04/1954,M,M - Male,A - Not Indic,Retire-Normal
154,Terminated,12/13/2019,07/08/2013,04/28/1963,S,M - Male,C - HS Grad,Voluntary-Dissatisfied with SW
155,Terminated,10/11/2019,08/05/2013,12/17/1970,S,M - Male,H - Some Grad,Voluntary-Health
156,Terminated,08/23/2019,02/18/2019,12/22/1972,D,F - Female,G - Bachelor's,Voluntary-Dissatisfied with SW
157,Terminated,07/31/2019,04/20/1998,06/30/1954,M,F - Female,C - HS Grad,Retire-Normal
158,Terminated,07/26/2019,06/12/2000,01/30/1951,M,M - Male,A - Not Indic,Retire-Normal
159,Terminated,02/28/2020,12/17/2018,04/19/1963,D,F - Female,D - Some Coll.,Voluntary-Another Job
160,Terminated,01/03/2020,10/23/2006,06/19/1962,S,M - Male,A - Not Indic,Voluntary-No Reason Given
161,Terminated,07/26/2019,01/12/2015,07/12/1960,S,M - Male,G - Bachelor's,Voluntary-Dissatisfied with SW
162,Terminated,03/29/2019,08/27/2018,07/18/1972,M,M - Male,C - HS Grad,Voluntary-Another Job
163,Terminated,05/31/2019,01/10/2011,07/29/1988,M,F - Female,A - Not Indic,Voluntary-Illness in Family
164,Terminated,02/15/2019,11/27/2017,06/07/1985,M,F - Female,G - Bachelor's,Voluntary-Reloc/Move
165,Terminated,04/24/2020,08/05/2019,12/25/1994,D,F - Female,C - HS Grad,Voluntary-Personal Reasons
166,Terminated,02/07/2019,03/15/2010,04/17/1964,S,M - Male,A - Not Indic,Voluntary-Another Job
167,Terminated,01/03/2019,11/09/1999,08/05/1956,M,F - Female,D - Some Coll.,Voluntary-Personal Reasons
168,Terminated,06/21/2019,11/17/2013,07/28/1962,M,M - Male,D - Some Coll.,Voluntary-Another Job
169,Terminated,08/06/2019,03/15/2018,01/04/1960,S,M - Male,A - Not Indic,Voluntary-Another Job
170,Terminated,04/23/2019,03/19/2018,12/25/1959,M,M - Male,A - Not Indic,Voluntary-Another Job
171,Terminated,01/14/2020,06/18/2019,11/22/1974,S,F - Female,A - Not Indic,Voluntary-Dissatisfied w/Hrs
172,Terminated,02/05/2019,08/25/2003,08/11/1952,M,F - Female,A - Not Indic,Voluntary-Health
173,Terminated,12/27/2019,04/24/2009,01/12/1948,S,F - Female,A - Not Indic,Retire-Normal
174,Terminated,08/23/2019,02/15/2011,07/12/1975,S,F - Female,A - Not Indic,Voluntary-Another Job
175,Terminated,12/13/2019,02/17/2004,12/17/1954,S,F - Female,A - Not Indic,Retire-Normal
176,Terminated,12/13/2019,11/10/2007,12/04/1957,S,F - Female,A - Not Indic,Retire-Normal
177,Terminated,07/26/2019,09/02/2003,08/01/1949,S,F - Female,A - Not Indic,Retire-Normal
178,Terminated,04/09/2019,10/23/2017,07/28/1960,S,F - Female,A - Not Indic,Voluntary-No Call/No Show
179,Terminated,02/05/2019,01/17/2018,10/03/1977,M,F - Female,A - Not Indic,Voluntary-No Call/No Show
180,Terminated,12/20/2019,05/22/2018,07/21/1979,M,F - Female,A - Not Indic,Voluntary-No Call/No Show
181,Terminated,12/20/2019,08/17/2018,12/18/1975,S,F - Female,A - Not Indic,Voluntary-No Call/No Show
182,Terminated,02/14/2020,10/05/2018,10/12/1963,M,F - Female,A - Not Indic,Voluntary-No Call/No Show
183,Terminated,04/30/2019,10/05/2017,04/07/1960,M,F - Female,A - Not Indic,Voluntary-Another Job
184,Terminated,04/20/2020,08/22/2005,12/05/1952,S,F - Female,A - Not Indic,Voluntary-Dissatisfied with SW
185,Terminated,07/19/2019,02/18/2013,03/17/1967,N,F - Female,A - Not Indic,Voluntary-Health
186,Terminated,08/26/2019,06/07/2013,05/19/1964,N,F - Female,A - Not Indic,Voluntary-No Call/No Show
187,Terminated,06/12/2019,06/28/2013,01/05/1966,N,F - Female,A - Not Indic,Voluntary-No Reason Given
188,Terminated,02/13/2019,07/15/2013,09/01/1956,N,M - Male,A - Not Indic,Voluntary-Personal Reasons
189,Terminated,11/01/2019,08/01/2013,02/03/1959,N,M - Male,A - Not Indic,Voluntary-No Call/No Show
190,Terminated,09/25/2019,03/18/2014,10/15/1971,M,F - Female,A - Not Indic,Voluntary-Dissatisfied with SW
191,Terminated,03/11/2020,05/01/2014,07/07/1973,M,F - Female,A - Not Indic,Voluntary-Dissatisfied with SW
192,Terminated,08/20/2019,07/14/2015,10/14/1972,S,F - Female,A - Not Indic,Voluntary-Another Job
193,Terminated,10/11/2019,03/23/2016,05/27/1967,M,F - Female,A - Not Indic,Voluntary-Illness in Family
194,Terminated,02/14/2019,11/14/2016,04/27/1978,S,F - Female,A - Not Indic,Voluntary-Reloc/Move
195,Terminated,03/08/2019,10/09/2017,02/25/1965,S,F - Female,A - Not Indic,Voluntary-No Reason Given
196,Terminated,11/01/2019,02/26/2019,06/17/1967,S,F - Female,A - Not Indic,Voluntary-Another Job
197,Terminated,12/27/2019,04/03/2019,10/11/1968,S,F - Female,A - Not Indic,Voluntary-Health
198,Terminated,04/26/2019,08/10/2003,12/11/1931,S,F - Female,A - Not Indic,Retire-Normal
199,Terminated,08/30/2019,11/07/2016,03/09/1954,M,M - Male,A - Not Indic,Retire-Normal
200,Terminated,11/29/2019,09/08/2016,03/29/1953,S,M - Male,A - Not Indic,Retire-Normal
201,Terminated,03/19/2019,05/04/2017,06/22/1966,S,M - Male,A - Not Indic,Voluntary-No Call/No Show
202,Terminated,01/16/2020,03/19/2019,10/29/1995,S,M - Male,A - Not Indic,Voluntary-Another Job
203,Terminated,05/31/2019,03/29/2017,06/13/1995,S,M - Male,A - Not Indic,Voluntary-Another Job
204,Terminated,03/22/2019,10/23/2017,10/03/1968,M,M - Male,A - Not Indic,Voluntary-Another Job
205,Terminated,10/11/2019,07/11/2018,03/09/1975,S,F - Female,A - Not Indic,Voluntary-Another Job
206,Terminated,07/31/2019,10/01/2018,12/21/1984,N,M - Male,A - Not Indic,Voluntary-No Reason Given
207,Terminated,09/23/2019,09/18/2019,02/22/1982,N,M - Male,A - Not Indic,Voluntary-No Reason Given
208,Terminated,01/02/2020,04/24/2017,03/11/1979,S,F - Female,G - Bachelor's,Voluntary-Another Job
209,Terminated,02/28/2020,09/16/2019,09/11/1993,M,M - Male,G - Bachelor's,Voluntary-Another Job
210,Terminated,05/03/2019,04/03/2015,10/11/1972,S,F - Female,A - Not Indic,Voluntary-Dissatisfied with SW
211,Terminated,10/30/2019,07/20/2017,01/07/1986,M,M - Male,A - Not Indic,Voluntary-Dissatisfied with SW
212,Terminated,02/04/2019,04/02/2007,08/06/1976,D,F - Female,A - Not Indic,Voluntary-Personal Reasons
213,Terminated,01/23/2020,11/07/2003,01/23/1953,S,F - Female,A - Not Indic,Retire-Normal
214,Terminated,09/05/2019,07/25/2011,04/25/1992,S,M - Male,C - HS Grad,Voluntary-No Call/No Show
215,Terminated,02/19/2020,06/15/2015,05/10/1978,S,F - Female,A - Not Indic,Voluntary-No Call/No Show
216,Terminated,01/08/2019,08/22/2017,07/12/1989,S,M - Male,A - Not Indic,Voluntary-Dissatisfied with SW
